Search results from the CABI Invasive Species Compendium Advanced Datasheet Search 8/8/2021.
Search summary - (distribution:"6252001" OR distribution:"4482348") AND (type:"Full") AND (group:"Plants") AND (riskLikelihoods:"riskHighlyLikelyToBeTransportedInternationallyIllegally")
"Citation:  CABI, 2021. Invasive Species Compendium. Wallingford, UK: CAB International. www.cabi.org/isc."
Search URL: https://www.cabi.org/isc/AdvancedSearch/#(distribution:"@@6252001" OR distribution:"@@4482348") AND (type:"Full") AND (group:"Plants") AND (riskLikelihoods:"riskHighlyLikelyToBeTransportedInternationallyIllegally")
For terms and conditions see: https://www.cabi.org/terms-and-conditions/
Preferred scientific name, International common name, ISC content, Plant pest, Taxonomic group, Domain, Kingdon, Phylum, Class, Order, Family, Datasheet URL
Agave sisalana, sisal hemp, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Liliales, Agavaceae, https://www.cabi.org/isc/datasheet/3855
Alpinia purpurata, red ginger, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Zingiberales, Zingiberaceae, https://www.cabi.org/isc/datasheet/4377
Alpinia zerumbet, shell ginger, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Zingiberales, Zingiberaceae, https://www.cabi.org/isc/datasheet/109799
Asclepias curassavica, bloodflower, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Asclepiadaceae, https://www.cabi.org/isc/datasheet/7248
Buddleja davidii, butterfly bush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Loganiaceae, https://www.cabi.org/isc/datasheet/10314
Callisia fragrans, basketplant, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Commelinales, Commelinaceae, https://www.cabi.org/isc/datasheet/112884
Ceratophyllum demersum, coontail, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Nymphaeales, Ceratophyllaceae, https://www.cabi.org/isc/datasheet/16222
Cestrum diurnum, day jessamine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Solanaceae, https://www.cabi.org/isc/datasheet/89953
Coix lacryma-jobi, Job's-tears, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Cyperales, Poaceae, https://www.cabi.org/isc/datasheet/15648
Cuscuta japonica, Japanese dodder, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Cuscutaceae, https://www.cabi.org/isc/datasheet/17116
Cylindropuntia fulgida, jumping cholla, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Cactaceae, https://www.cabi.org/isc/datasheet/37715
Datura innoxia, downy thorn apple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Solanaceae, https://www.cabi.org/isc/datasheet/18004
Dioscorea alata, white yam, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Dioscoreales, Dioscoreaceae, https://www.cabi.org/isc/datasheet/19293
Echinocystis lobata, wild cucumber, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Violales, Cucurbitaceae, https://www.cabi.org/isc/datasheet/113998
Eichhornia azurea, anchored water hyacinth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Pontederiales, Pontederiaceae, https://www.cabi.org/isc/datasheet/108967
Elodea nuttallii, Nuttall's waterweed, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Hydrocharitales, Hydrocharitaceae, https://www.cabi.org/isc/datasheet/20761
Erigeron karvinskianus, Karwinsky’s fleabane, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/114202
Eugenia uniflora, Surinam cherry, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Myrtales, Myrtaceae, https://www.cabi.org/isc/datasheet/23099
Gomphrena globosa, globe amaranth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/25617
Hedychium coronarium, white butterfly ginger lily, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Monocotyledonae, Zingiberales, Zingiberaceae, https://www.cabi.org/isc/datasheet/26678
