Search results from the CABI Invasive Species Compendium Advanced Datasheet Search 8/8/2021.
Search summary - (distribution:"6252001" OR distribution:"4482348") AND (type:"Full") AND (kingdom:"Plantae") AND (phylum:"Spermatophyta") AND (class:"Dicotyledonae") AND (group:"Plants")
"Citation:  CABI, 2021. Invasive Species Compendium. Wallingford, UK: CAB International. www.cabi.org/isc."
Search URL: https://www.cabi.org/isc/AdvancedSearch/#(distribution:"@@6252001" OR distribution:"@@4482348") AND (type:"Full") AND (kingdom:"Plantae") AND (phylum:"Spermatophyta") AND (class:"Dicotyledonae") AND (group:"Plants")
For terms and conditions see: https://www.cabi.org/terms-and-conditions/
Limiting returned results to 500 from of a total of 795.
Preferred scientific name, International common name, ISC content, Plant pest, Taxonomic group, Domain, Kingdon, Phylum, Class, Order, Family, Datasheet URL
Abelmoschus moschatus, musk mallow, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1951
Abrus precatorius, rosary pea, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/1965
Abutilon grandifolium, hairy Indian mallow, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/111972
Abutilon hirtum, Indian mallow, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/119788
Abutilon indicum, country mallow, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1979
Abutilon theophrasti, velvet leaf, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Malvaceae, https://www.cabi.org/isc/datasheet/1987
Acacia angustissima, prairie acacia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2148
Acacia auriculiformis, northern black wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2157
Acacia confusa, , Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2191
Acacia crassicarpa, northern wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2192
Acacia cyclops, coastal wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2197
Acacia dealbata, acacia bernier, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2207
Acacia decurrens, green wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2208
Acacia farnesiana, huisache, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2236
Acacia longifolia, golden wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2312
Acacia mangium, brown salwood, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2325
Acacia mearnsii, black wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2326
Acacia melanoxylon, Australian blackwood, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2329
Acacia nilotica, gum arabic tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2342
Acacia saligna, Port Jackson wattle, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/2402
Acanthospermum australe, spiny-bur, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/118957
Acanthospermum hispidum, bristly starbur, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/2465
Acer negundo, box elder, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2862
Acer platanoides, Norway maple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2883
Acer pseudoplatanus, sycamore, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2884
Acer rufinerve, grey snake-bark maple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Sapindales, Aceraceae, https://www.cabi.org/isc/datasheet/2889
Achillea millefolium, yarrow, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/2636
Achyranthes aspera, devil's horsewhip, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/2664
Adenanthera pavonina, red-bead tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3209
Aeschynomene americana, shyleaf, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3445
Aeschynomene indica, Indian jointvetch, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3451
Agdestis clematidea, rockroot, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Phytolaccaceae, https://www.cabi.org/isc/datasheet/119791
Ageratina adenophora, Croftonweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/23243
Ageratina riparia, mistflower, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/23251
Ageratum conyzoides, billy goat weed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/3572
Ageratum houstonianum, Blue billygoatweed, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/3573
Ailanthus altissima, tree-of-heaven, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rutales, Simaroubaceae, https://www.cabi.org/isc/datasheet/3889
Akebia quinata, five-leaf akebia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Ranunculales, Lardizabalaceae, https://www.cabi.org/isc/datasheet/3933
Albizia chinensis, Chinese albizia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/3991
Albizia julibrissin, silk tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4005
Albizia lebbeck, Indian siris, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4008
Albizia niopoides, silk tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4014
Albizia procera, white siris, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4021
Aleurites moluccanus, candlenut tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Euphorbiales, Euphorbiaceae, https://www.cabi.org/isc/datasheet/4124
Alhagi maurorum, camelthorn, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/4215
Allamanda blanchetii, purple allamanda, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Apocynaceae, https://www.cabi.org/isc/datasheet/25980468
Allamanda cathartica, yellow allamanda, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Apocynaceae, https://www.cabi.org/isc/datasheet/4098
Alliaria petiolata, garlic mustard, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/3941
Alnus glutinosa, European alder, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fagales, Betulaceae, https://www.cabi.org/isc/datasheet/4574
Aloysia citrodora, lemon verbena, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Lamiales, Verbenaceae, https://www.cabi.org/isc/datasheet/112152
Alternanthera philoxeroides, alligator weed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4403
Alternanthera sessilis, sessile joyweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4404
Alysicarpus vaginalis, alyce clover, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/8097
Alyssum desertorum, desert madwort, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/112171
Amaranthus blitum, livid amaranth, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4648
Amaranthus cruentus, red amaranth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4645
Amaranthus dubius, spleen amaranth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4646
Amaranthus hybridus, smooth pigweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4643
Amaranthus palmeri, Palmer amaranth, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4649
Amaranthus retroflexus, redroot pigweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4652
Amaranthus spinosus, spiny amaranth, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4653
Amaranthus tuberculatus, rough-fruited water-hemp, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/112200
Amaranthus viridis, slender amaranth, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Amaranthaceae, https://www.cabi.org/isc/datasheet/4654
Ambrosia artemisiifolia, common ragweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/4691
Ambrosia confertiflora, , Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/120550
Ambrosia psilostachya, perennial ragweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/4692
Ambrosia tenuifolia, lacy ragweed, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/109862
Ambrosia trifida, giant ragweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/4693
Amelanchier lamarckii, snowy mespilus, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rosales, Rosaceae, https://www.cabi.org/isc/datasheet/4831
Amelanchier spicata, dwarf serviceberry, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rosales, Rosaceae, https://www.cabi.org/isc/datasheet/4836
Amorpha fruticosa, false indigo-bush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/5001
Ampelopsis arborea, peppervine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rhamnales, Vitaceae, https://www.cabi.org/isc/datasheet/4814
Anagallis arvensis, scarlet pimpernel, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/5352
Anethum graveolens, dill, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Apiales, Apiaceae, https://www.cabi.org/isc/datasheet/3472
Annona cherimola, cherimoya, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5806
Annona glabra, pond apple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5811
Annona muricata, soursop, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5812
Annona reticulata, bullock's heart, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5816
Annona squamosa, sugar apple, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Annonales, Annonaceae, https://www.cabi.org/isc/datasheet/5820
Anredera baselloides, Madeira vine, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Basellaceae, https://www.cabi.org/isc/datasheet/120417
Anredera cordifolia, Madeira vine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Basellaceae, https://www.cabi.org/isc/datasheet/112290
Anthemis cotula, dog fennel, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/5672
Antigonon leptopus, coral vine, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Polygonales, Polygonaceae, https://www.cabi.org/isc/datasheet/112316
Arceuthobium abietinum, fir dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6823
Arceuthobium americanum, lodgepole pine dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6824
Arceuthobium campylopodum, western dwarf misletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6831
Arceuthobium douglasii, Douglas-fir dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6834
Arceuthobium laricis, larch dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6843
Arceuthobium pusillum, eastern dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6853
Arceuthobium tsugense, hemlock dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6857
Arceuthobium vaginatum, southwestern dwarf mistletoe, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Santalales, Viscaceae, https://www.cabi.org/isc/datasheet/6859
Arctotheca calendula, capeweed, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/6729
Ardisia crenata, coral berry, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/119055
Ardisia elliptica, shoebutton ardisia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/108066
Ardisia humilis, low shoebutton, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Primulales, Primulaceae, https://www.cabi.org/isc/datasheet/83558368
Argemone mexicana, Mexican poppy, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Papaverales, Papaveraceae, https://www.cabi.org/isc/datasheet/6878
Argemone ochroleuca, pale Mexican pricklypoppy, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Papaverales, Papaveraceae, https://www.cabi.org/isc/datasheet/112405
Aristolochia elegans, elegant Dutchman’s pipe, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Aristolochiales, Aristolochiaceae, https://www.cabi.org/isc/datasheet/120156
Aristolochia littoralis, elegant dutchman's pipe, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Aristolochiales, Aristolochiaceae, https://www.cabi.org/isc/datasheet/112423
Aristolochia ringens, Dutchman’s pipe, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Aristolochiales, Aristolochiaceae, https://www.cabi.org/isc/datasheet/119795
Aronia x prunifolia, , Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rosales, Rosaceae, https://www.cabi.org/isc/datasheet/108963
Artemisia biennis, biennial wormwood, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/112441
Artocarpus altilis, breadfruit, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Urticales, Moraceae, https://www.cabi.org/isc/datasheet/1822
Artocarpus heterophyllus, jackfruit, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Urticales, Moraceae, https://www.cabi.org/isc/datasheet/1832
Asclepias curassavica, bloodflower, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Asclepiadaceae, https://www.cabi.org/isc/datasheet/7248
Asclepias syriaca, common milkweed, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Asclepiadaceae, https://www.cabi.org/isc/datasheet/7249
Asystasia gangetica, chinese violet, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Scrophulariales, Acanthaceae, https://www.cabi.org/isc/datasheet/7641
Atriplex semibaccata, Australian saltbush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Chenopodiaceae, https://www.cabi.org/isc/datasheet/7903
Averrhoa bilimbi, bilimbi, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Geraniales, Oxalidaceae, https://www.cabi.org/isc/datasheet/8081
Azadirachta indica, neem tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Rutales, Meliaceae, https://www.cabi.org/isc/datasheet/8112
Baccharis halimifolia, groundsel-bush, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/8164
Bacopa monnieri, water hyssop, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Scrophulariales, Scrophulariaceae, https://www.cabi.org/isc/datasheet/112638
Barleria cristata, Philippine violet, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Scrophulariales, Acanthaceae, https://www.cabi.org/isc/datasheet/8509
Barleria lupulina, hophead Philippine violet, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Scrophulariales, Acanthaceae, https://www.cabi.org/isc/datasheet/120108
Barringtonia asiatica, sea poison tree, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Theales, Lecythidaceae, https://www.cabi.org/isc/datasheet/8468
Basella alba, malabar spinach, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Basellaceae, https://www.cabi.org/isc/datasheet/8273
Bassia hyssopifolia, fivehook bassia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Chenopodiaceae, https://www.cabi.org/isc/datasheet/92365
Batis maritima, saltwort, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Bataceae, https://www.cabi.org/isc/datasheet/8562
Bauhinia monandra, Napoleon's plume, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/8626
Bauhinia purpurea, purple bauhinia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/8638
Bauhinia variegata, mountain ebony, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/8656
Begonia nelumbiifolia, lilypad begonia, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Violales, Begoniaceae, https://www.cabi.org/isc/datasheet/119796
Berberis thunbergii, Japanese barberry, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Ranunculales, Berberidaceae, https://www.cabi.org/isc/datasheet/8808
Bidens alba, , Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/119783
Bidens frondosa, beggarticks, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/108916
Bidens pilosa, blackjack, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Asterales, Asteraceae, https://www.cabi.org/isc/datasheet/9148
Bixa orellana, annatto, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Malvales, Bixaceae, https://www.cabi.org/isc/datasheet/9242
Bocconia frutescens, plume poppy, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Papaverales, Papaveraceae, https://www.cabi.org/isc/datasheet/9449
Boerhavia coccinea, scarlet spiderling, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Nyctaginaceae, https://www.cabi.org/isc/datasheet/9459
Boerhavia diffusa, red spiderling, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Nyctaginaceae, https://www.cabi.org/isc/datasheet/9460
Bontia daphnoides, white alling, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Scrophulariales, Scrophulariaceae, https://www.cabi.org/isc/datasheet/119798
Bougainvillea spectabilis, great bougainvillea, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Caryophyllales, Nyctaginaceae, https://www.cabi.org/isc/datasheet/9640
Brassica juncea, mustard, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/91760
Brassica nigra, black mustard, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/10097
Brassica rapa, field mustard, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/121115
Brassica tournefortii, African mustard, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/50069
Breynia disticha, snowbush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Euphorbiales, Euphorbiaceae, https://www.cabi.org/isc/datasheet/112794
Broussonetia papyrifera, paper mulberry, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Urticales, Moraceae, https://www.cabi.org/isc/datasheet/10017
Brugmansia candida, angel's trumpet, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Solanaceae, https://www.cabi.org/isc/datasheet/10133
Brugmansia suaveolens, white angel's trumpet, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Solanales, Solanaceae, https://www.cabi.org/isc/datasheet/107903
Buddleja asiatica, dog tail, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Loganiaceae, https://www.cabi.org/isc/datasheet/10317
Buddleja davidii, butterfly bush, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Gentianales, Loganiaceae, https://www.cabi.org/isc/datasheet/10314
Bunias orientalis, Turkish warty-cabbage, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Capparidales, Brassicaceae, https://www.cabi.org/isc/datasheet/109130
Cabomba caroliniana, Carolina fanwort, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Nymphaeales, Cabombaceae, https://www.cabi.org/isc/datasheet/107743
Caesalpinia decapetala, Mysore thorn, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/10733
Caesalpinia pulcherrima, peacock flower, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/10728
Calliandra houstoniana var. calothyrsus, calliandra, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/14011
Calophyllum inophyllum, Alexandrian laurel, Full, No, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Theales, Clusiaceae, https://www.cabi.org/isc/datasheet/14124
Calopogonium caeruleum, jicama, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/14059
Calopogonium mucunoides, calopo, Full, Yes, Plants, Eukaryota, Plantae, Spermatophyta, Dicotyledonae, Fabales, Fabaceae, https://www.cabi.org/isc/datasheet/14060
